item_name,category,attribute,brand,unit,color,sku,quantity,buying_price,marked_price
Stop Watch,Men Wear,Medium Size,Brand X,Pieces,Golden,ST007,5,2500,3300
Watch,Men,,Naviforce,,Silver,9038SW,,2000,3000
Watch,Men,,Naviforce,,Silver,9038SB,,2000,3000
Watch,Men,,Naviforce,,Black,9074BWB,,2000,3000
Watch,Men,,Naviforce,,Black,9074BGYB,,2000,3000
Watch,Men,,Naviforce,,Brown,9074BYBN,,2000,3000
Watch,Men,,Naviforce,,Brown,9056BCE,,2000,3000
Watch,Men,,Naviforce,,Black,9056BB,,2000,3000
Watch,Men,,Naviforce,,Black,9024BBR,,2600,3600
Watch,Men,,Naviforce,,Black,9050BBR,,2600,3600
Watch,Men,,Naviforce,,Silver,9050SBR,,2600,3600
Watch,Men,,Naviforce,,Black,9068L,,2800,4000
Watch,Men,,Naviforce,,Brown,9068BYBN,,2800,4000
Watch,Men,,Naviforce,,Black,9124BGYB,,2000,3000
Watch,Men,,Naviforce,,Brown,9124BYDBN,,2000,3000
Watch,Men,,Naviforce,,Silver,9089RGW,,2800,4000
Watch,Men,,Naviforce,,Black,9089RGB,,2800,4000
Watch,Men,,Naviforce,,Brown,9095BYBN,,2600,3600
Watch,Men,,Naviforce,,Grey,9095BWGY,,2600,3600
Watch,Men,,Naviforce,,Silver,9093SBW,,2600,3600
Watch,Men,,Naviforce,,Gold,9093GG,,2600,3600
Watch,Men,,Naviforce,,Blue,9122BEBE,,2000,3000
Watch,Men,,Naviforce,,Silver,9117SBEBE,,2000,3000
Watch,Men,,Naviforce,,Black,9117SBRG,,2000,3000
Watch,Men,,Naviforce,,Brown,9117SRGCE,,2000,3000
Watch,Men,,Naviforce,,Black,9110BYBN,,3700,4000
Watch,Men,,Naviforce,,Black,9128BWB,,2600,3600
Watch,Men,,Naviforce,,Brown,9128RGRG,,2600,3600
Watch,Men,,Naviforce,,Silver,9138SBW,,2700,3600
Watch,Men,,Naviforce,,Gold,9138GG,,2750,3600
Watch,Men,,Naviforce,,Blue,9138RGBE,,2750,3600
Watch,Men,,Naviforce,,Brown,9135BYBN,,2650,3600
Watch,Men,,Naviforce,,Black,9135BGYB,,2650,3600
Watch,Men,,Naviforce,,Blue,9135BE,,2650,3600
Watch,Men,,Naviforce,,Blue,9148SWBE,,2800,3600
Watch,Men,,Naviforce,,Black,9148BB,,2800,3600
Watch,Men,,Naviforce,,Brown,9148RG,,2800,3600
Watch,Men,,Naviforce,,Black,9160BGYB,,2600,3600
Watch,Men,,Naviforce,,Brown,9160BOLBN,,2600,3600
Watch,Men,,Naviforce,,Brown,9160BYBN,,2600,3600
Watch,Men,,Naviforce,,Silver,9146SB,,2600,3600
Watch,Men,,Naviforce,,Blue,9146BEBE,,2600,3600
Watch,Men,,Naviforce,,Brown,9144BYDBN,,2600,3600
Watch,Men,,Naviforce,,Black,9144BB,,2600,3600
Watch,Men,,Naviforce,,Brown ,9144Brown,,2000,3000
Watch,Men,,Naviforce,,Blue,9144BEBE,,2000,3000
Watch,Men,,Naviforce,,Black,9134BGYB,,2000,3000
Watch,Men,,Naviforce,,Brown,9134BOLBN,,2000,3000
Watch,Men,,Naviforce,,Silver,9161SB,,2000,3000
Watch,Men,,Naviforce,,Black,9161BB,,2000,3000
