barcode,item_name,category_id,reorder_level,buying_price,marked_price,selling_price,tax_type_id,narrative
PROD_0001,SNAP,1,5,140,180,180,1,BEER
PROD_0002,TUSKER LITE,1,5,183,220,220,1,BEER
PROD_0003,TUSKER CIDER,1,5,175,220,220,1,BEER
PROD_0004,TUSKER MALT,1,5,183,220,220,1,BEER
PROD_0005,TUSKER LAGER,1,5,167,220,220,1,BEER
PROD_0006,BALOZI,1,5,166,220,220,1,BEER
PROD_0007,TRIPPLE ACE 250ML,2,10,167,200,200,1,VODKA
PROD_0008,REDBULL,3,2,130,170,170,1,SOFT DRINKS
PROD_0009,COKE 2LT,3,1,145,160,160,1,SOFT DRINKS
PROD_0010,COKE 1.25ML,3,1,106,120,120,1,SOFT DRINKS
PROD_0011,KREST 1.25ML,3,1,106,120,120,1,SOFT DRINKS
PROD_0012,SPRITE 500ML,3,5,53,70,70,1,SOFT DRINKS
PROD_0013,BRAVADA 300ML,3,5,25,40,40,1,SOFT DRINKS
PROD_0014,LIME 300ML,3,5,20,40,40,1,SOFT DRINKS
PROD_0015,FANTA PASSION 500ML,3,5,53,70,70,1,SOFT DRINKS
PROD_0016,FANTA ORANGE 500ML,3,5,53,70,70,1,SOFT DRINKS
PROD_0017,COKE 500ML,3,5,53,70,70,1,SOFT DRINKS
PROD_0018,KREST 500ML,3,5,53,70,70,1,SOFT DRINKS
PROD_0019,MINUTE MAID APPLE 400ML,3,5,58,70,70,1,SOFT DRINKS
PROD_0020,LEMONADE 300ML,3,5,37,50,50,1,SOFT DRINKS
PROD_0021,TONIC WATER,3,5,65,100,100,1,SOFT DRINKS
PROD_0022,PREDATOR,3,5,41,50,50,1,SOFT DRINKS
PROD_0023,POWER PLAY,3,5,50,60,60,1,SOFT DRINKS
PROD_0024,SPRITE 2L,3,1,145,160,160,1,SOFT DRINKS
PROD_0025,FANTA PASSION 2LT,3,1,145,160,160,1,SOFT DRINKS
PROD_0026,MINUTE MAID 1LT,3,1,105,130,130,1,SOFT DRINKS
PROD_0027,COKE 350ML,3,5,33,40,40,1,SOFT DRINKS
PROD_0028,KREST 350ML,3,5,33,40,40,1,SOFT DRINKS
PROD_0029,SPRITE 350ML,3,5,33,40,40,1,SOFT DRINKS
PROD_0030,STONEY 350ML,3,5,33,40,40,1,SOFT DRINKS
PROD_0031,SAFARI KINGS,4,20,8.6,10,10,1,CIGARETTES
PROD_0032,SPORTSMAN,4,10,10.5,15,15,1,CIGARETTES
PROD_0033,DUNHILL DOUBLE,4,10,13.05,20,20,1,CIGARETTES
PROD_0034,EMBASSY,4,10,12.1,20,20,1,CIGARETTES
PROD_0035,KENYA CANE SMOOTH 250ML,5,2,220,250,250,1,WHISKEY
